MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
VERA CRUZ,7448,2251,2023,1
VEREDA,1428,799,2023,1
VITORIA DA CONQUISTA,169789,48416,2023,1
WAGNER,1330,384,2023,1
WANDERLEY,2770,1229,2023,1
WENCESLAU GUIMARAES,4437,2147,2023,1
XIQUE-XIQUE,10598,5639,2023,1
ABAIARA,2981,1830,2023,1
ACARAPE,3348,1489,2023,1
ACARAU,19478,9963,2023,1
ACOPIARA,18651,11464,2023,1
AIUABA,3423,2422,2023,1
ALCANTARAS,4623,2707,2023,1
ALTANEIRA,1996,1202,2023,1
ALTO SANTO,5012,2877,2023,1
AMONTADA,10660,6254,2023,1
ANTONINA DO NORTE,2712,1680,2023,1
APUIARES,4643,2942,2023,1
AQUIRAZ,27609,10807,2023,1
ARACATI,26860,10333,2023,1
ARACOIABA,7287,4198,2023,1
ARARENDA,3852,2531,2023,1
ARARIPE,7165,4283,2023,1
ARATUBA,3563,2375,2023,1
ARNEIROZ,2133,1443,2023,1
ASSARE,7151,4514,2023,1
AURORA,6529,4144,2023,1
BAIXIO,1686,817,2023,1
BANABUIU,4857,2619,2023,1
BARBALHA,25143,11883,2023,1
BARREIRA,8205,3954,2023,1
BARRO,5744,2785,2023,1
BARROQUINHA,3597,2122,2023,1
BATURITE,12212,7046,2023,1
BEBERIBE,15719,5811,2023,1
BELA CRUZ,9001,5243,2023,1
BOA VIAGEM,23341,15079,2023,1
BREJO SANTO,23046,11481,2023,1
CAMOCIM,21671,11378,2023,1
CAMPOS SALES,12712,7970,2023,1
CANINDE,31980,18350,2023,1
CAPISTRANO,4730,2762,2023,1
CARIDADE,5240,3285,2023,1
CARIRE,5663,3615,2023,1
CARIRIACU,9223,5528,2023,1
CARIUS,4974,2994,2023,1
CARNAUBAL,5386,2390,2023,1
CASCAVEL,25156,9599,2023,1
CATARINA,4140,2778,2023,1
CATUNDA,2639,1576,2023,1
CAUCAIA,113714,45164,2023,1
CEDRO,9448,5922,2023,1
CHAVAL,2857,1718,2023,1
CHORO,3262,2175,2023,1
CHOROZINHO,7193,2620,2023,1
COREAU,6458,3542,2023,1
CRATEUS,36587,19405,2023,1
CRATO,60015,26599,2023,1
CROATA,6089,3230,2023,1
CRUZ,12265,5719,2023,1
DEPUTADO IRAPUAN PINHEIRO,3192,2335,2023,1
ERERE,1167,834,2023,1
EUSEBIO,33138,8071,2023,1
FARIAS BRITO,5226,3249,2023,1
FORQUILHA,8517,4699,2023,1
FORTALEZA,1209670,347007,2023,1
FORTIM,4959,1794,2023,1
FRECHEIRINHA,6608,3598,2023,1
GENERAL SAMPAIO,1838,1177,2023,1
GRACA,4793,3181,2023,1
GRANJA,12307,7252,2023,1
GRANJEIRO,676,337,2023,1
GROAIRAS,5644,3544,2023,1
GUAIUBA,5192,2676,2023,1
GUARACIABA DO NORTE,18857,8508,2023,1
GUARAMIRANGA,2140,1239,2023,1
HIDROLANDIA,6540,3733,2023,1
HORIZONTE,27693,11559,2023,1
IBARETAMA,3312,1917,2023,1
IBIAPINA,8988,4323,2023,1
IBICUITINGA,3984,2418,2023,1
